src,dst
213,169
213,192
213,195
213,196
213,211
213,221
214,218
215,207
215,219
216,50
216,135
216,211
216,221
217,164
217,176
217,220
218,50
218,54
218,132
218,195
218,206
218,210
218,214
219,53
219,57
219,84
219,103
219,179
219,207
219,211
219,215
220,51
220,68
220,80
220,209
220,212
220,217
221,52
221,195
221,216
222,64
222,232
222,239
222,251
222,280
222,281
223,224
223,232
223,240
223,251
223,281
223,282
224,225
224,234
224,242
224,252
224,282
224,283
225,233
225,252
225,283
225,284
226,225
226,235
226,253
226,284
226,285
227,226
227,236
227,253
227,283
227,284
227,285
227,286
228,227
228,237
228,254
228,286
228,287
228,288
229,228
229,238
229,254
229,255
229,287
229,288
229,289
229,290
229,291
229,292
230,65
230,229
230,238
230,249
230,256
230,267
230,268
230,288
230,289
230,290
230,291
230,292
231,140
231,230
231,256
231,290
231,291
231,292
232,64
232,176
232,222
232,223
232,239
232,240
232,251
232,280
232,281
232,282
233,223
233,224
233,225
233,241
233,242
233,251
233,252
233,282
233,283
234,225
234,226
234,242
234,243
234,252
234,253
234,255
234,283
234,284
234,285
235,226
235,244
235,253
235,254
235,255
235,256
235,285
236,227
236,228
236,229
236,245
236,246
236,283
236,284
236,285
236,286
237,229
237,230
237,246
237,247
237,286
237,287
237,288
238,230
238,248
238,249
238,256
238,287
238,288
238,289
238,290
238,291
238,292
239,222
239,232
239,239
239,251
239,280
240,176
240,232
240,251
240,281
241,224
241,251
241,282
242,224
242,233
242,251
242,252
242,283
243,66
243,225
243,243
243,253
243,284
244,226
244,235
244,253
244,285
245,286
246,287
247,288
248,289
248,290
249,238
249,256
249,291
249,292
250,256
250,291
250,292
251,223
251,281
252,224
252,282
252,283
253,226
256,238
256,292
257,223
257,251
257,280
258,179
258,251
258,257
258,259
258,269
258,270
258,280
258,281
259,251
259,252
259,260
259,270
259,271
259,281
259,282
260,163
260,173
260,180
260,252
260,271
260,272
260,283
261,252
261,253
261,262
261,272
261,284
262,180
262,239
262,240
262,253
262,261
262,272
262,273
262,284
262,285
263,239
263,240
263,241
263,253
263,254
263,274
263,285
263,286
264,240
264,241
264,242
264,243
264,254
264,255
264,274
264,286
264,287
264,288
265,244
265,245
265,254
265,255
265,256
265,275
265,276
265,288
265,289
265,290
266,244
266,245
266,248
266,255
266,256
266,276
266,277
266,289
266,290
266,291
267,140
267,245
267,246
267,247
267,256
267,278
267,290
267,291
268,77
268,137
268,179
268,181
268,182
268,229
268,230
268,238
268,246
268,247
268,248
268,249
268,256
268,267
268,279
268,291
268,292
269,124
269,150
269,153
269,154
269,170
269,174
269,203
269,212
269,251
269,257
269,258
269,259
269,260
269,270
269,280
269,281
270,172
270,251
270,252
270,258
270,259
270,281
270,282
270,296
271,252
271,260
271,261
271,282
271,283
272,141
272,252
272,253
272,260
272,261
272,273
272,283
272,284
273,253
273,262
273,285
274,65
274,140
274,254
274,263
274,264
274,275
274,285
274,286
275,254
275,255
275,265
